Tweetler,Duygu Analizi
allahım çıldıracağım yemin ederim çıldıracağım sinirimden  yerden desene çıkaramıyorum cam çerçeve indireceğim   varsa,0
site  zaman çalıştı  ürün stokları bitti diyor mal misiniz oğlum  kandırıyorsunuz,0
sebebi neydi   bağıracağım   kaldı,0
black friday  amk  yıl çıkardınız  boku  mal misiniz nesiniz,0
  cevaplar vereceksen  yazıyorsun gerizekalı,0
cinnet geçiriyorum iyice çıldırttılar beni,0
allahım etraf beyinsiz kaynıyor çıldıracağım ,0
bok  geçti sınavım çıldıracağım,0
allah kahretsin bunları  öfkeliyim  diyecek söz bulamıyorum,0
gerçek gerizekalı deli  kitle var     altına sıçmalı bokuyla oynamalı ,0
allah belamı versin  günün  saat keyfim yerindeyse  kalan   saat sınır küpü ölüyorum,0
bütün gün yaptığım stres sonucu  şey olmamış  davranan ailem var  tavırları beni delirtecek,0
erkekleri  anlayamıyorum çıldıracağım,0
annemden  babamdan nefret ediyorum,0
  kelimeyle herşeyin düzeleceğini sanan aptallar sizden nefret ediyorum,0
 kitaba tl verdiğim  gerizekalı diyen kişilerin  ruja tl vermesi kaçıncı level,0
    gerizekalısınız   sinirlendim,0
  benim çikolatalı sütüm bak sinirlendim,0
size zerre umursamayan insanlar  deli  üzülüyorsunuz mal misiniz,0
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı  iş  olmaz ,0
  uyumadığım    kendime küfür edeceğim,0
 takip atıyorum  gt atmıyorsunuz   size sövüyorum,0
allah belanı versin tudor cehennemde  nerden geldin başımıza kardeşim,0
 padişah  bağırıyor gerizekalılar,0
susmasam kendisi şeşimde delireceğim,0
admin bey size  sövüyorlar bilmediğim küfürler öğrendim,0
 türkiye desene size yapılan küfürler  inliyor  an şerefsizler  sürüsü,0
hayat bana cinnet geçir  ısrarla olay çıkartıyor karşıma,0
tbmm kürsüsünden  sözler demirören  ekibi türk futbolundan defolup gitsin,0
sosyal medya dedikoduları    baymaya başladı   ağız olsun küfür edeceğim yeter,0
 size soruyorum mal misiniz amk,0
terörden beslenme övünen  geçinen destek veren destek alan  duran göz yuman  varsa allah belasını versin,0
  tl yiyin devletin mali yiyin yemeyen keriz  anlayamıyorum  insanlar beni sinirden öldürecek,0
kızlar salak misiniz gidin okuyun mal  evleniyorsunuz,0
allah kimseyi gerizekalı insanlarla sınamasın,0
   birşeye sinirlendim ,0
öğrencilerime testi çözdürürken hata yaptıklarında aynur hocam  deliriyorum,0
nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi,0
 şey bomboş   saçma   öfkeliyim,0
  bayern madrid çıkamazmış  davranıyor delireceğim,0
 insanlar doğarken     gerizekalı oluyor bilemiyorum iyice  araştırmak lazım,0
 fake değilim  baş baş bağıracağım ,0
 derse  gidemedim delireceğim ,0
yaşadığım sürece negredoya küfür edeceğim,0
susarak  olmak bana   illa küfür edeceğim,0
konserden  hepinize küfür edeceğim nefret yorumları yapanlar   an jong dinlemem lazım,0
 sikeyim   yorumcuyu  desene buna para veriyorlar  sınır ölüyorum ,0
 ıslıklayanları küfür edenleri görevliler yaka paça  atsın ,0
hocam insan  şey bilmese haddini bilmelidir bilmeyenler beni sinirlendiriyor,0
okula  makyaj yapıp geliyorsunuz kardeşim mal misiniz,0
 defa birinden    nefret ediyorum,0
eğitim sistemi  berbat saçma sapan gerizekalı  sistem,0
bağıracağım    olsan  ,0
tespihimi kaybettim bulamıyorum satır delireceğim,0
satır uyumaya çalışıyorum  tik    bağıracağım ,0
 kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim,0
özelden arıyorsunuz  konuşmuyorsunuz amk mal misiniz,0
  uykumu getirsin küfür edeceğim,0
 gerizekalının tekisin anlatsam  anlayamazsın,0
 insanlara kuş beyinli dediğim zaman kuşlara hakaret ettiğimi düşünüyorum,0
allahım yediğimiz gel bak çıldıracağım yeter ,0
kadına şiddet   zavallılık   cahilliktir gerizekalılar,0
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı  iş  olmaz ,0
oğuzhan  küfür edeceğim   kaldı,0
  mutsuz   korkağım  kendime  kızıyorum,0
kuzenime ödev yaptırıyorum  çıldıracağım sanırım,0
 köy  tolgayı yeter  çıldıracağım kafayı yiyorum,0
